Name,Year,Genre,NASales,EUSales,GlobalSales
Euro Truck Simulator,2008,Simulation,0,0.42,0.51
Dragon Ball Z: Supersonic Warriors,2004,Fighting,0.36,0.13,0.51
Dishonored,2012,Action,0.26,0.19,0.51
Paws & Claws: Dogs & Cats Best Friends,2007,Simulation,0.46,0.01,0.51
NBA Ballers,2004,Sports,0.37,0.11,0.51
Silent Hill 4: The Room,2004,Action,0.25,0.19,0.51
River Raid II,1988,Shooter,0.47,0.03,0.51
Capcom Classics Collection,2005,Misc,0.22,0.17,0.51
Guitar Hero Live,2015,Misc,0.29,0.17,0.51
Wolfenstein: The New Order,2014,Shooter,0.14,0.25,0.51
Monopoly Party,2002,Misc,0.25,0.19,0.51
Hidden Mysteries: Titanic - Secrets of the Fateful Voyage,2009,Adventure,0.12,0.33,0.51
NHL FaceOff 98,1997,Sports,0.28,0.19,0.51
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,0.36,0.13,0.5
F1 2012,2012,Racing,0.1,0.35,0.5
NHL 09,2008,Sports,0.45,0.01,0.5
Sonic Riders,2006,Racing,0.42,0.02,0.5
Looney Tunes: Back in Action,2003,Platform,0.25,0.19,0.5
Wet,N/A,Shooter,0.23,0.21,0.5
Midnight Magic,1983,Action,0.47,0.03,0.5
Alice: Madness Returns,2011,Adventure,0.27,0.15,0.5
Pro Evolution Soccer 2012,2011,Action,0.1,0.34,0.5
Tiger Woods PGA Tour 07,2006,Sports,0.31,0.12,0.5
Midnight Club II,2003,Racing,0.42,0.06,0.5
Atelier Rorona: Alchemist of Arland,2009,Role-Playing,0.22,0.12,0.5
Monster Hunter Freedom 2,2011,Role-Playing,0,0,0.5
Dragon Ball Z: Supersonic Warriors 2,2005,Fighting,0.14,0.02,0.5
Avatar: The Last Airbender,2006,Adventure,0.39,0.1,0.5
Blue's Clues: Blue's Big Musical,2001,Misc,0.28,0.19,0.5
The Mummy Returns,2001,Action,0.25,0.19,0.5
Hitman: Blood Money,2006,Action,0.25,0.19,0.5
Disney Sing It,2008,Misc,0.25,0.19,0.5
Chopper Command,1982,Shooter,0.47,0.03,0.5
Activision Anthology,2002,Misc,0.25,0.19,0.5
Crash: Mind Over Mutant,2008,Platform,0.25,0.19,0.5
WWE 2K16,2015,Sports,0.27,0.19,0.5
LEGO The Hobbit,2014,Action,0.2,0.26,0.5
Babysitting Mama,2010,Simulation,0.34,0.12,0.5
Boogie,2007,Misc,0.43,0.03,0.5
Theatrhythm: Final Fantasy,2012,Misc,0.22,0.07,0.5
Bleach: Soul Resurreccion,2011,Fighting,0.27,0.11,0.5
Madden NFL 07,2006,Sports,0.46,0,0.5
Rugrats in Paris: The Movie,2000,Action,0.4,0.09,0.5
Dance Dance Revolution Universe 2,2007,Simulation,0.46,0.01,0.5
Star Wars: Jedi Starfighter,2002,Simulation,0.24,0.19,0.5
Tactics Ogre: The Knight of Lodis,2001,Role-Playing,0.13,0.05,0.5
Fortune Street,2011,Misc,0.27,0.04,0.5
Super Robot Taisen MX,2004,Strategy,0,0,0.5
Alice in Wonderland,2010,Adventure,0.27,0.18,0.5
NBA Street Homecourt,2007,Sports,0.45,0.01,0.5
Spider-Man 2,2004,Action,0.41,0.02,0.5
Bases Loaded '96: Double Header,1995,Sports,0.28,0.19,0.5
Dead or Alive Ultimate,2004,Fighting,0.3,0.1,0.5
RPG Maker,1997,Role-Playing,0.11,0.07,0.5
FIFA 14,2013,Sports,0.11,0.25,0.5
Star Wars: Clone Wars,2002,Shooter,0.24,0.19,0.5
The Saboteur,2009,Action,0.2,0.22,0.5
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,2004,Action,0.24,0.19,0.5
Metal Gear Rising: Revengeance,2013,Action,0.29,0.16,0.5
Madden NFL 11,2010,Sports,0.41,0.02,0.5
Major League Baseball 2K12,2012,Sports,0.47,0,0.5
Alien: Isolation,2014,Shooter,0.22,0.24,0.5
The Price is Right,2008,Misc,0.46,0,0.5
Monster Hunter,2004,Role-Playing,0.11,0.08,0.5
Cars 2,2011,Racing,0.28,0.17,0.5
Dreamworks Madagascar Kartz,2009,Racing,0.29,0.16,0.5
Tony Hawk's Underground 2,2004,Sports,0.38,0.1,0.5
SplashDown: Rides Gone Wild,2003,Racing,0.24,0.19,0.5
Super Famista 5,1996,Sports,0,0,0.5
Dynasty Warriors: Gundam 2,2008,Action,0.09,0.07,0.5
Shrek SuperSlam,2005,Action,0.24,0.19,0.5
Rayman Advance,2001,Platform,0.36,0.13,0.5
Super Robot Taisen Z,2008,Strategy,0,0,0.5
PoPoLoCrois Monogatari,1996,Role-Playing,0,0,0.5
Tomb Raider: Anniversary,2007,Action,0.41,0.02,0.5
Fantastic 4,2005,Action,0.41,0.01,0.5
Epic Mickey 2: The Power of Two,2012,Action,0.21,0.2,0.5
Men in Black II: Alien Escape,2002,Shooter,0.24,0.19,0.5
The Evil Within,2014,Action,0.25,0.2,0.5
RealSports Tennis,1982,Sports,0.46,0.03,0.5
Nicktoons: Attack of the Toybots,2007,Platform,0.24,0.19,0.5
Raiders of the Lost Ark,1981,Action,0.46,0.03,0.5
Gauntlet,1982,Action,0.46,0.03,0.5
Ridge Racer 3D,2011,Racing,0.19,0.15,0.5
Cars Mater-National Championship,2007,Racing,0.46,0,0.49
Ace Combat: Assault Horizon,2011,Action,0.3,0.12,0.49
Resident Evil: The Mercenaries 3D,2011,Action,0.16,0.17,0.49
Super Monkey Ball 3D,2011,Action,0.26,0.15,0.49
Tony Hawk's Project 8,2006,Sports,0.44,0.02,0.49
Tony Hawk's Underground 2,2004,Sports,0.35,0.13,0.49
MotorStorm: Apocalypse,2011,Racing,0.21,0.2,0.49
Ice Hockey,1980,Sports,0.46,0.03,0.49
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015,Action,0,0,0.49
Lego Batman 3: Beyond Gotham,2014,Action,0.09,0.29,0.49
The Matrix: Path of Neo,2005,Action,0.41,0.01,0.49
Kane & Lynch 2: Dog Days,2010,Shooter,0.2,0.23,0.49
Lollipop Chainsaw,2012,Action,0.31,0.13,0.49
WWE Wrestlemania X8,2002,Fighting,0.38,0.1,0.49
Sonic Lost World,2013,Platform,0.24,0.15,0.49
Power Rangers: Dino Thunder,2003,Action,0.35,0.13,0.49
GoldenEye: Rogue Agent,2004,Shooter,0.34,0.13,0.49
Ultimate I Spy,2008,Adventure,0.45,0,0.49
SpongeBob SquarePants: Creature from the Krusty Krab,2006,Platform,0.45,0,0.49
The Sims,2003,Simulation,0.35,0.13,0.49
Grandia III,2005,Role-Playing,0.12,0.1,0.49
FIFA Soccer 09,2008,Sports,0.12,0.31,0.49
Mobile Suit Gundam Seed Destiny: Rengou vs. Z.A.F.T. II Plus,2006,Shooter,0,0,0.49
Mario & Wario,1993,Puzzle,0,0,0.49
Scarface: The World is Yours,2006,Action,0.37,0.11,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,0.24,0.2,0.49
Pokemon Art Academy,2014,Misc,0.18,0.12,0.49
FIFA Soccer 64,1997,Sports,0.16,0.3,0.49
Dragon Ball Z: Burst Limit,2008,Fighting,0.24,0.18,0.49
Bakugan Battle Brawlers: Defenders of the Core,2010,Action,0.42,0.02,0.49
Medal of Honor,2010,Shooter,0.2,0.23,0.49
Doom 3 BFG Edition,2012,Shooter,0.28,0.17,0.49
J-League Pro Soccer Club wo Tsukurou! 2,1997,Sports,0,0,0.49
Terraria,2013,Action,0.07,0.26,0.49
Backyard Baseball,2004,Sports,0.24,0.19,0.49
WipEout Pulse,2009,Racing,0,0.15,0.49
Barbie Horse Adventures: Wild Horse Rescue,2003,Sports,0.24,0.19,0.49
Epic Mickey: Power of Illusion,2012,Action,0.36,0.04,0.49
LEGO Marvel Super Heroes,2013,Action,0.28,0.17,0.49
Taiko no Tatsujin: Appare Sandaime,2003,Misc,0,0,0.49
Alone in the Dark,2008,Adventure,0.14,0.3,0.49
One Piece: Grand Battle!,2001,Fighting,0,0,0.49
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009,Shooter,0.25,0.01,0.49
Football Manager Handheld 2009,2008,Sports,0,0.47,0.49
Sniper: Art of Victory,2008,Shooter,0,0.45,0.49
Crazy Taxi,2001,Racing,0.36,0.09,0.49
Spy Hunter 2,2003,Racing,0.24,0.19,0.49
F1 2014,2014,Racing,0.07,0.31,0.49
Pac-Man World 2,2002,Action,0.36,0.11,0.49
Bass Pro Shops: The Strike,2009,Sports,0.45,0,0.49
Die Hard Trilogy 2: Viva Las Vegas,1999,Action,0.27,0.18,0.49
Jake Power: Fireman,2008,Adventure,0.08,0.35,0.49
Asphalt 3D,2011,Racing,0.27,0.16,0.49
Momotarou Dentetsu X: Kyuushuu-hen mo Arubai,2001,Misc,0,0,0.49
Steel Diver,2011,Action,0.31,0.1,0.49
Tales of Legendia,2005,Role-Playing,0.07,0.05,0.49
SimCity 2000,1995,Simulation,0,0,0.49
Crash of the Titans,2007,Action,0.42,0.02,0.49
Far Cry 2,2008,Action,0.01,0.45,0.49
Battlefield: Hardline,2015,Shooter,0.12,0.23,0.49
Harry Potter and the Order of the Phoenix,2007,Action,0.38,0.06,0.49
Rayman Raving Rabbids: TV Party,2008,Misc,0.44,0.01,0.49
F.E.A.R. 2: Project Origin,2009,Shooter,0.19,0.21,0.49
Sonic & All-Stars Racing Transformed,2012,Racing,0.12,0.25,0.48
Scene It? Lights Camera Action,2007,Misc,0.43,0.02,0.48
Dead Space Extraction,2009,Shooter,0.33,0.11,0.48
Scrabble 2007 Edition,2007,Puzzle,0,0.48,0.48
Shrek the Third,2007,Action,0.4,0.02,0.48
Metal Gear Solid HD Edition,2012,Action,0.16,0.18,0.48
Children of Mana,2006,Role-Playing,0.16,0.01,0.48
Madagascar: Operation Penguin,2005,Action,0.35,0.13,0.48
Active Life: Extreme Challenge,2009,Sports,0.15,0.27,0.48
The Sims 2: Pets,2007,Simulation,0.42,0.03,0.48
Mario Golf: World Tour,2014,Sports,0.15,0.14,0.48
Need for Speed: Porsche Unleashed,2004,Racing,0.35,0.13,0.48
Yu-Gi-Oh! Forbidden Memories (JP sales),1999,Role-Playing,0,0,0.48
NFL Street 2,2004,Sports,0.36,0.11,0.48
Silent Hill: Shattered Memories,2009,Action,0.23,0.19,0.48
Millipede,1983,Shooter,0.45,0.03,0.48
The Legend of the Mystical Ninja,1991,Adventure,0,0,0.48
You're in the Movies,2008,Misc,0.27,0.17,0.48
Dark Sector,2008,Shooter,0.22,0.2,0.48
James Bond 007: Blood Stone,2010,Shooter,0.2,0.24,0.48
Jeopardy!,2003,Misc,0.24,0.18,0.48
Destroy All Humans! 2,2006,Action,0.4,0.02,0.48
ECW Hardcore Revolution,1999,Fighting,0.27,0.18,0.48
Pinball Hall of Fame: The Williams Collection,2008,Misc,0.42,0.03,0.48
Tiger Woods PGA Tour 07,2006,Sports,0.44,0,0.48
Wu-Tang: Shaolin Style,1998,Fighting,0.27,0.18,0.48
World of Warcraft: Warlords of Draenor,2014,Action,0.08,0.36,0.48
Rock Band Unplugged,2009,Misc,0.24,0.15,0.48
OkamiDen,2010,Adventure,0.25,0.07,0.48
Crash: Mind Over Mutant,2008,Platform,0.22,0.21,0.48
2010 FIFA World Cup South Africa,2010,Sports,0.09,0.24,0.48
Secret Weapons Over Normandy,2003,Simulation,0.24,0.18,0.48
Go Diego Go! Great Dinosaur Rescue,2008,Action,0.44,0.01,0.48
All-Star Baseball 99,1998,Sports,0.44,0.04,0.48
Harvest Moon 64,1999,Simulation,0.25,0.06,0.48
NCAA Football 09,2008,Sports,0.4,0.02,0.48
Bratz: The Movie,2007,Simulation,0.24,0.18,0.48
FIFA Soccer 13,2012,Action,0.18,0.26,0.48
Harvest Moon DS (US sales),2005,Simulation,0.41,0.07,0.48
Vigilante 8: 2nd Offense,1999,Racing,0.27,0.18,0.48
Two Worlds II,2011,Role-Playing,0.26,0.11,0.48
Football Manager 2015,2014,Simulation,0,0.43,0.48
Theme Park Roller Coaster,2000,Strategy,0.23,0.18,0.48
Need for Speed: Hot Pursuit,2010,Racing,0.18,0.24,0.48
Skylanders: SuperChargers,2015,Action,0.25,0.18,0.48
Viva Pinata: Trouble in Paradise,2008,Simulation,0.16,0.25,0.48
Nickelodeon Team Umizoomi,2011,Action,0.45,0,0.48
FlingSmash,2010,Action,0.38,0.01,0.48
NFL Xtreme 2,1999,Sports,0.27,0.18,0.48
Spider-Man 3,2007,Platform,0.42,0.02,0.48
Midnight Club: Street Racing,2001,Racing,0.34,0.13,0.48
Dynasty Warriors Gundam,2007,Action,0.14,0.01,0.48
Tomb Raider: Underworld,2008,Action,0.14,0.28,0.48
Final Fantasy Crystal Chronicles: Echoes of Time,2009,Role-Playing,0.12,0.06,0.48
Fable,2014,Role-Playing,0.25,0.19,0.48
Tiger Woods PGA Tour 06,2005,Sports,0.35,0.11,0.48
FIFA World Cup Germany 2006,2006,Sports,0.19,0.27,0.48
Up,2009,Action,0.19,0.05,0.48
Grand Prix,1981,Racing,0.45,0.03,0.48
Ford Racing Off Road,2008,Racing,0.06,0.4,0.48
SimCity Creator,2008,Simulation,0.37,0.03,0.48
World of Outlaws: Sprint Cars 2002,2002,Racing,0.23,0.18,0.48
Cars: Race-O-Rama,2009,Racing,0.35,0.09,0.48
Emergency Heroes,2008,Racing,0.15,0.27,0.48
Sonic the Hedgehog,N/A,Platform,0,0.48,0.48
Fantavision,2000,Puzzle,0.14,0.11,0.47
Double Dragon,1989,Action,0.45,0.02,0.47
Alien Trilogy,1996,Shooter,0.24,0.16,0.47
NBA Live 99,1998,Sports,0.45,0.02,0.47
Bravely Second: End Layer,2015,Role-Playing,0.16,0.11,0.47
Karate,N/A,Fighting,0.44,0.03,0.47
Dark Sector,2008,Shooter,0.23,0.16,0.47
Unreal Tournament III,2008,Shooter,0.25,0.17,0.47
X-Men: Next Dimension,2002,Fighting,0.23,0.18,0.47
Street Fighter X Tekken,2012,Fighting,0.31,0.1,0.47
The Godfather (JP sales),2006,Action,0.39,0.02,0.47
MySims Racing,2009,Racing,0.19,0.23,0.47
Hamsterz Life,2006,Action,0.43,0.01,0.47
Dragon Age Origins: Awakening,2010,Role-Playing,0.33,0.1,0.47
Super Puyo Puyo 2,1995,Puzzle,0,0,0.47
Gauntlet Legends,2000,Action,0.26,0.18,0.47
Castlevania: Dawn of Sorrow,2005,Platform,0.37,0.04,0.47
Naruto Shippuden: Ultimate Ninja Storm Revolution,2014,Fighting,0.15,0.16,0.47
Deadpool,2013,Action,0.23,0.17,0.47
WipEout,1995,Action,0.26,0.18,0.47
ICO,2001,Action,0.23,0.18,0.47
Silent Hill: Downpour,2012,Action,0.21,0.16,0.47
2014 FIFA World Cup Brazil,2014,Sports,0.14,0.28,0.47
WWE SmackDown vs. Raw 2011,2010,Fighting,0.3,0.13,0.47
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,2011,Role-Playing,0,0,0.47
Victorious Boxers: Ippo's Road to Glory,2000,Fighting,0.05,0.04,0.47
Petz Sports,2008,Simulation,0.42,0.01,0.47
Lego Batman 3: Beyond Gotham,2014,Action,0.23,0.21,0.47
Densetsu no Stafi,2002,Platform,0,0,0.47
Valkyrie Profile 2: Silmeria,2006,Role-Playing,0.04,0.03,0.47
Hot Wheels Velocity X,2002,Racing,0.23,0.18,0.47
Shadowrun,2007,Role-Playing,0.41,0.02,0.47
FIFA Soccer 13,2012,Action,0,0.3,0.47
Virtua Tennis 4: World Tour,2011,Sports,0.05,0.3,0.47
"Warhammer 40,000: Dawn of War II",2009,Strategy,0,0.45,0.47
Crazy Taxi: Fare Wars,2007,Racing,0.1,0.22,0.47
Clash of Elementalists,2010,Action,0,0,0.47
Spider-Man 3,2007,Platform,0.41,0.02,0.47
Disney Infinity 3.0,2015,Action,0.14,0.25,0.47
L.A. Rush,2005,Racing,0.23,0.18,0.47
Bomberman Hero,1998,Platform,0.27,0.06,0.47
Automobili Lamborghini,1997,Racing,0.28,0.17,0.47
Quest 64,1998,Role-Playing,0.38,0.08,0.47
Momotarou Dentetsu V,1999,Misc,0,0,0.47
Doom 64,1997,Shooter,0.38,0.08,0.47
Boom Blox Bash Party,2009,Puzzle,0.34,0.09,0.47
The Sims 3: Ambitions,2010,Simulation,0,0.29,0.47
Dead or Alive 4,2005,Fighting,0.3,0.03,0.47
Commando,1987,Action,0.44,0.02,0.47
Rise of Nightmares,2011,Action,0.28,0.13,0.47
The Princess and the Frog,2009,Platform,0.29,0.13,0.47
NBA Ballers: Phenom,2006,Sports,0.23,0.18,0.47
Need for Speed Carbon,2006,Racing,0.35,0.1,0.47
Tiger Woods PGA Tour 07,N/A,Sports,0.43,0,0.47
NHL 16,2015,Sports,0.37,0.05,0.47
FIFA 12,2011,Sports,0.04,0.33,0.47
MTV Music Generator,1999,Misc,0.26,0.18,0.47
Spider-Man: Friend or Foe,2007,Action,0.43,0,0.47
Major League Baseball 2K13,2013,Sports,0.44,0,0.47
Super Momotarou Dentetsu DX,1995,Misc,0,0,0.47
World Soccer Winning Eleven 8: Liveware Evolution,2005,Sports,0,0,0.47
The Sims 3: Outdoor Living Stuff,2011,Simulation,0,0.38,0.47
Cars: Race-O-Rama,2009,Racing,0.27,0.03,0.47
Downhill Domination,2003,Racing,0.23,0.18,0.47
NHL 15,2014,Sports,0.35,0.07,0.47
Pirates of the Caribbean: Dead Man's Chest,2006,Adventure,0.33,0.12,0.47
World Series of Poker,2005,Misc,0.39,0.01,0.47
Inazuma Eleven Go 2: Chrono Stone,2012,Role-Playing,0,0.01,0.47
NHL 97,1996,Sports,0.26,0.18,0.47
We Sing Encore,2010,Misc,0,0.41,0.47
Kong: The 8th Wonder of the World,2005,Action,0.33,0.12,0.47
MX vs. ATV: Alive,2011,Racing,0.24,0.15,0.47
Mega Man Star Force 3: Black Ace / Red Joker,2008,Action,0.22,0,0.47
Crayola: Treasure Adventures,2007,Puzzle,0.43,0.01,0.47
Godzilla: Save the Earth,2004,Fighting,0.23,0.18,0.47
Dance Dance Revolution: Mario Mix,2005,Misc,0.36,0.09,0.47
Metal Gear Solid: The Twin Snakes,2004,Action,0.3,0.08,0.47
Imagine: Figure Skater (US sales),2007,Sports,0.46,0.01,0.47
Mat Hoffman's Pro BMX 2,2002,Sports,0.23,0.18,0.46
Metal Gear Solid: The Essential Collection,2007,Adventure,0.23,0.18,0.46
The Legend of Spyro: Dawn of the Dragon,2008,Platform,0.26,0.15,0.46
Iridion 3D,2001,Shooter,0.33,0.12,0.46
MX vs. ATV Untamed,2007,Racing,0.35,0.06,0.46
Classic NES Series: Pac-Man,2004,Puzzle,0.25,0.09,0.46
Destroy All Humans!,2005,Shooter,0.34,0.11,0.46
Dragon Ball Z: Collectible Card Game,2002,Misc,0.33,0.12,0.46
Circus Atari,N/A,Action,0.43,0.03,0.46
Country Dance 2,2011,Misc,0.44,0,0.46
Razor Freestyle Scooter,1999,Sports,0.26,0.17,0.46
Crash of the Titans,2007,Action,0.4,0.03,0.46
F.E.A.R. 3,2011,Shooter,0.21,0.17,0.46
Disney's Kim Possible 3: Team Possible,2005,Platform,0.33,0.12,0.46
Rygar: The Legendary Adventure,2002,Action,0.2,0.15,0.46
Syphon Filter: Logan's Shadow,2007,Shooter,0.25,0.12,0.46
Super Batter Up,1992,Sports,0,0,0.46
Kessen II,2001,Strategy,0.13,0.1,0.46
Crayon Shin-Chan: Arashi o Yobu Enji,1993,Platform,0,0,0.46
Stuart Little 2,2002,Platform,0.33,0.12,0.46
Wolfenstein: The New Order,2014,Shooter,0.12,0.29,0.46
"Warhammer 40,000: Space Marine",2011,Shooter,0.13,0.25,0.46
Tak 2: The Staff of Dreams,2004,Platform,0.33,0.12,0.46
Art Academy: Lessons for Everyone,2012,Action,0.2,0.03,0.46
Sid Meier's Civilization Revolution,2008,Strategy,0.38,0.03,0.46
ATV Offroad Fury Pro,2006,Racing,0.37,0.04,0.46
Dora The Explorer: Dora Saves the Snow Princess,2008,Platform,0.27,0.16,0.46
SingStar Amped,2007,Misc,0.23,0.18,0.46
Brothers In Arms: Earned in Blood,2005,Shooter,0.38,0.01,0.46
Walk it Out!,2010,Sports,0.36,0.06,0.46
Transformers: Dark of the Moon - Autobots/Decepticons,2011,Action,0.34,0.09,0.46
Dragon Ball Z: Sagas,2005,Fighting,0.38,0.01,0.46
Scooby-Doo,2001,Platform,0.33,0.12,0.46
The Legend of Spyro: Dawn of the Dragon,2008,Platform,0.19,0.19,0.46
Hydro Thunder,1999,Racing,0.26,0.17,0.46
Brothers In Arms: D-Day,2006,Shooter,0.23,0.14,0.46
American Girl: Kit Mystery Challenge!,2008,Adventure,0.42,0,0.46
Mario & Sonic at the Rio 2016 Olympic Games,2016,Action,0.04,0.16,0.46
NHL FaceOff '97,1996,Sports,0.26,0.17,0.46
Deadpool,2013,Action,0.26,0.16,0.46
Brothers In Arms: Road to Hill 30,2005,Shooter,0.38,0.01,0.46
Virtua Tennis 4,2011,Sports,0.09,0.25,0.46
EA Sports UFC,2014,Sports,0.3,0.12,0.46
Gremlins,1983,Action,0.43,0.03,0.46
The Mark of Kri,2002,Action,0.22,0.18,0.46
Jampack Winter 2003 (RP-M),2003,Misc,0.22,0.18,0.46
Rugrats: Castle Capers,2001,Action,0.33,0.12,0.46
Crash Nitro Kart,2003,Racing,0.33,0.12,0.46
Star Wars The Clone Wars: Republic Heroes,2009,Action,0.19,0.19,0.46
Farming Simulator 2015,2015,Simulation,0.11,0.28,0.46
Bleach: The Blade of Fate,2006,Fighting,0.3,0.01,0.46
Madden NFL 12,2011,Sports,0.43,0,0.46
LEGO Rock Band,2009,Misc,0.33,0.09,0.46
Mad Max (2015),2015,Action,0.26,0.16,0.46
"Barbie: Jet, Set & Style!",2011,Misc,0.37,0.05,0.46
Jak and Daxter: The Lost Frontier,2009,Platform,0.22,0.17,0.46
Momotarou Dentetsu 11,2002,Misc,0,0,0.46
Command & Conquer: Red Alert 3,2008,Strategy,0.18,0.23,0.46
Tomb Raider: Legend,2006,Action,0.09,0.24,0.46
Skylanders: SuperChargers,2015,Action,0.24,0.18,0.46
The Golden Compass,2007,Action,0.3,0.12,0.46
Star Wars: Demolition,2000,Racing,0.25,0.17,0.46
Scooby-Doo! and the Spooky Swamp,2010,Action,0.29,0.13,0.46
Sword Art Online: Lost Song,2015,Role-Playing,0.08,0.1,0.46
Bloody Roar II,1999,Fighting,0.25,0.17,0.46
Delta Force: Black Hawk Down,2005,Shooter,0.22,0.17,0.46
Burnout Dominator,2007,Racing,0.02,0.38,0.46
NBA Live 07,2006,Sports,0.42,0,0.46
Vin Diesel: Wheelman,2009,Racing,0.24,0.17,0.46
Space Invaders,1994,Shooter,0,0,0.46
.hack//Outbreak Part 3,2002,Role-Playing,0.14,0.11,0.46
Rayman Legends,2013,Platform,0.19,0.23,0.46
Mother 1+2,2003,Role-Playing,0,0,0.46
Hyperdimension Neptunia,2010,Role-Playing,0.22,0.11,0.46
iCarly,2009,Adventure,0.42,0,0.46
Puzzle & Dragons Z + Super Mario Bros. Edition,2015,Puzzle,0.05,0.05,0.46
Harry Potter and the Deathly Hallows - Part 1,2010,Action,0.21,0.2,0.46
Top Spin,2003,Sports,0.36,0.08,0.46
Disney Guilty Party,2010,Misc,0.43,0,0.46
Warhawk,1995,Simulation,0.25,0.17,0.46
Pirates of the Caribbean: At World's End,2007,Action,0.39,0.02,0.46
Red Faction: Armageddon,2011,Shooter,0.2,0.16,0.46
DanceStar Party,2011,Misc,0,0.35,0.46
Persona 4: Dancing All Night,2015,Misc,0.13,0.1,0.46
Tales of Vesperia,2009,Role-Playing,0,0,0.45
Thief (2014),2014,Action,0.26,0.15,0.45
Dynasty Warriors: Strikeforce,2009,Action,0.03,0.03,0.45
2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild,2005,Platform,0.33,0.12,0.45
Tales of Hearts,2013,Role-Playing,0.15,0.13,0.45
Missile Command,1999,Shooter,0.25,0.17,0.45
Lego Batman 3: Beyond Gotham,2014,Action,0.21,0.21,0.45
Barbie as The Island Princess,2007,Adventure,0.42,0,0.45
Jikkyou Powerful Pro Yakyuu 3,1996,Sports,0,0,0.45
The Walking Dead: Season One,2014,Adventure,0.12,0.25,0.45
Jikkyou Powerful Pro Yakyuu 12,2005,Sports,0,0,0.45
Enter the Matrix,2003,Action,0.34,0.09,0.45
Crash: Mind Over Mutant,2008,Platform,0.36,0.06,0.45
NASCAR 2005: Chase for the Cup,2004,Racing,0.34,0.1,0.45
J-League Excite Stage '95,1995,Sports,0,0,0.45
The New York Times Crosswords,2007,Puzzle,0.42,0,0.45
Phantasy Star Online Episode I & II,2002,Role-Playing,0.23,0.06,0.45
Moshi Monsters: Moshlings Theme Park,2012,Misc,0.03,0.37,0.45
The Powerpuff Girls: Relish Rampage,2002,Action,0.22,0.17,0.45
Resistance: Burning Skies,2012,Shooter,0.21,0.16,0.45
NBA 2K13,2012,Sports,0.39,0.03,0.45
Dead or Alive: Dimensions,2011,Fighting,0.13,0.21,0.45
The Chronicles of Riddick: Escape from Butcher Bay,N/A,Shooter,0.32,0.11,0.45
Brain Challenge,2008,Misc,0.41,0.01,0.45
NFL Head Coach,2006,Sports,0.38,0.01,0.45
Watch Dogs,2014,Action,0.14,0.26,0.45
Karaoke Revolution Presents American Idol Encore,2008,Misc,0.42,0,0.45
Major League Baseball 2K11,2011,Sports,0.4,0.03,0.45
Enemy Territory: Quake Wars,2008,Shooter,0.3,0.11,0.45
Ghostbusters,1985,Puzzle,0.42,0.03,0.45
NCAA Gamebreaker 99,1998,Sports,0.25,0.17,0.45
Area 51,2005,Shooter,0.22,0.17,0.45
World Stadium 2,1998,Sports,0,0,0.45
Sega Rally Revo,2007,Racing,0.12,0.28,0.45
NHL 2005,2004,Sports,0.22,0.17,0.45
TNA iMPACT!,2008,Fighting,0.26,0.15,0.45
Star Wars Jedi Knight: Jedi Academy,2003,Shooter,0.34,0.1,0.45
Thrillville: Off the Rails,2007,Strategy,0.39,0.02,0.45
Phoenix,1981,Simulation,0.42,0.02,0.45
Spider-Man: Shattered Dimensions,2010,Action,0.26,0.13,0.45
F.E.A.R. 3,2011,Shooter,0.3,0.11,0.45
My Fashion Studio,2007,Misc,0.41,0.01,0.45
Plants vs. Zombies: Garden Warfare 2,2016,Shooter,0.17,0.21,0.45
Rock Band Country Track Pack,2009,Misc,0.42,0,0.45
Pro Evolution Soccer 2016,2015,Sports,0.08,0.18,0.45
Apocalypse,1998,Action,0.25,0.17,0.45
Transformers: Revenge of the Fallen (Wii & PS2 Version),2009,Action,0.27,0.14,0.45
PES 2009: Pro Evolution Soccer,2009,Sports,0.09,0.26,0.45
Yu-Gi-Oh! Destiny Board Traveler,2004,Misc,0.32,0.12,0.45
SingStar Queen,2009,Misc,0.11,0.26,0.45
God Eater 2,2013,Role-Playing,0,0,0.45
Samurai Warriors 3,2009,Action,0.1,0.02,0.45
World Soccer Winning Eleven 5 Final Evolution,2001,Sports,0,0,0.45
One Piece: Pirate Warriors 3,2015,Action,0.08,0.22,0.45
Sphinx and the Cursed Mummy,2003,Action,0.22,0.17,0.45
Fatal Fury 2,1993,Fighting,0,0,0.45
Rampage World Tour,1998,Action,0.36,0.08,0.45
Pokemon Puzzle League,2000,Puzzle,0.36,0.08,0.45
Eternal Sonata,2008,Role-Playing,0.19,0.13,0.45
Dance Dance Revolution: Hottest Party 3,2009,Simulation,0.26,0.14,0.45
FIFA 15,2014,Sports,0.09,0.33,0.45
Petz: Catz 2,2007,Simulation,0.41,0.01,0.45
Bee Movie Game,2007,Action,0.41,0,0.45
Tekken Advance,2001,Fighting,0.32,0.12,0.45
